study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	data_source	pmid	pmid_str	paper_title	first_author	last_author	host_class	abstract	pub_year	journal
PRJNA255439	Homo sapiens	9606		USA: Maryland	32	WGS	pubmed_postdoc	26336637.0	26336637	Composition, taxonomy and functional diversity of the oropharynx microbiome in individuals with schizophrenia and controls.	Castro-Nallar E	Crandall KA		The role of the human microbiome in schizophrenia remains largely unexplored. The microbiome has been shown to alter brain development and modulate behavior and cognition in animals through gut-brain connections, and research in humans suggests that it may be a modulating factor in many disorders. This study reports findings from a shotgun metagenomic analysis of the oropharyngeal microbiome in 16 individuals with schizophrenia and 16 controls. High-level differences were evident at both the phylum and genus levels, with Proteobacteria, Firmicutes, Bacteroidetes, and Actinobacteria dominating both schizophrenia patients and controls, and Ascomycota being more abundant in schizophrenia patients than controls. Controls were richer in species but less even in their distributions, i.e., dominated by fewer species, as opposed to schizophrenia patients. Lactic acid bacteria were relatively more abundant in schizophrenia, including species of Lactobacilli and Bifidobacterium, which have been shown to modulate chronic inflammation. We also found Eubacterium halii, a lactate-utilizing species. Functionally, the microbiome of schizophrenia patients was characterized by an increased number of metabolic pathways related to metabolite transport systems including siderophores, glutamate, and vitamin B12. In contrast, carbohydrate and lipid pathways and energy metabolism were abundant in controls. These findings suggest that the oropharyngeal microbiome in individuals with schizophrenia is significantly different compared to controls, and that particular microbial species and metabolic pathways differentiate both groups. Confirmation of these findings in larger and more diverse samples, e.g., gut microbiome, will contribute to elucidating potential links between schizophrenia and the human microbiota.		PeerJ
PRJNA645015	Apis mellifera	7460		China: Jilin	125	WGS	pubmed_postdoc	34784973.0	34784973	Honey bee genetics shape the strain-level structure of gut microbiota in social transmission.	Wu J	Zheng H	Insecta	"BACKGROUND: Honey bee gut microbiota transmitted via social interactions are beneficial to the host health. Although the microbial community is relatively stable, individual variations and high strain-level diversity have been detected across honey bees. Although the bee gut microbiota structure is influenced by environmental factors, the heritability of the gut members and the contribution of the host genetics remains elusive. Considering bees within a colony are not readily genetically identical due to the polyandry of the queen, we hypothesize that the microbiota structure can be shaped by host genetics. RESULTS: We used shotgun metagenomics to simultaneously profile the microbiota and host genotypes of bees from hives of four different subspecies. Gut composition is more distant between genetically different bees at both phylotype- and ""sequence-discrete population"" levels. We then performed a successive passaging experiment within colonies of hybrid bees generated by artificial insemination, which revealed that the microbial composition dramatically shifts across batches of bees during the social transmission. Specifically, different strains from the phylotype of Snodgrassella alvi are preferentially selected by genetically varied hosts, and strains from different hosts show a remarkably biased distribution of single-nucleotide polymorphism in the Type IV pili loci. Genome-wide association analysis identified that the relative abundance of a cluster of Bifidobacterium strains is associated with the host glutamate receptor gene specifically expressed in the bee brain. Finally, mono-colonization of Bifidobacterium with a specific polysaccharide utilization locus impacts the alternative splicing of the gluR-B gene, which is associated with an increased GABA level in the brain. CONCLUSIONS: Our results indicated that host genetics influence the bee gut composition and suggest a gut-brain connection implicated in the gut bacterial strain preference. Honey bees have been used extensively as a model organism for social behaviors, genetics, and the gut microbiome. Further identification of host genetic function as a shaping force of microbial structure will advance our understanding of the host-microbe interactions. Video abstract."		Microbiome
PRJDB20287	Locusta migratoria	7004		Japan	1	WGS	pubmed_postdoc	41696020.0	41696020	Behavioural phase transitions in the migratory locust, Locusta migratoria, are related to changes in the gut bacterial composition.	Kim J	Mori H	Insecta	Locusta migratoria is a grasshopper species that can change its behaviour from solitary to gregarious. Previous studies have implicated metabolites such as serotonin and dopamine in the regulation of behavioural transition in this species. While many studies using cultured microbes have demonstrated that some microbes harbor the neuroactive metabolic potential of these neurotransmitters, the association between microbial community composition and phase transition remains poorly understood. Here, we employed 16S rRNA gene amplicon sequencing and shotgun metagenomic sequencing analyses to compare the composition of gut microbial communities of L. migratoria in different behavioural phases. We found that Serratia ureilytica was enriched in the gut of gregarious individuals in contrast to the decreased presence of Klebsiella aerogenes, one of the most abundant taxa in wild individuals. The gut microbiome of gregarious individuals was functionally characterised by enriched kynurenine and tryptophan synthesis pathways, and by reduced representation of GABA, indole, and dopamine metabolism pathways compared with that of solitary individuals. These compositional changes were consistent with the enrichment of S. ureilytica and depletion of K. aerogenes, which possess the corresponding genes. In particular, the genes for kynurenine synthesis encoded by S. ureilytica specific to the gregarious phase, are known to be involved in the tryptophan production and are associated with reduced serotonin synthesis. These results highlight a distinct shift in both the taxonomic and functional composition of the gut microbiome across behavioural phases and suggest a potential microbial contribution to the behavioural changes of L. migratoria.		ISME communications
PRJNA1040965	C57/BL6			Canada: Montreal	20	WGS	pubmed_postdoc	39723822.0	39723822	Dextran sodium sulfate-induced colitis alters the proportion and composition of replicating gut bacteria.	Beauchemin ET	Maurice CF	Mammalia	The bacteria living in the human gut are essential for host health. Though the composition and metabolism of these bacteria are well described in both healthy hosts and those with intestinal disease, less is known about the metabolic activity of the gut bacteria prior to, and during, disease development-especially regarding gut bacterial replication. Here, we use a recently developed single-cell technique alongside existing metagenomics-based tools to identify, track, and quantify replicating gut bacteria both ex vivo and in situ in the dextran sodium sulfate (DSS) mouse model of colitis. We show that the proportion of replicating gut bacteria decreases when mice have the highest levels of inflammation and returns to baseline levels as mice begin recovering. In addition, we report significant alterations in the composition of the replicating gut bacterial community ex vivo during colitis development. On the taxa level, we observe significant changes in the abundance of taxa such as the mucus-degrading Akkermansia and the poorly described Erysipelatoclostridium genus. We further demonstrate that many taxa exhibit variable replication rates in situ during colitis, including Akkermansia muciniphila. Lastly, we show that colitis development is positively correlated with increases in the presence and abundance of bacteria in situ which are predicted to be fast replicators. This could suggest that taxa with the potential to replicate quickly may have an advantage during intestinal inflammation. These data support the need for additional research using activity-based approaches to further characterize the gut bacterial response to intestinal inflammation and its consequences for both the host and the gut microbial community.IMPORTANCEIt is well known that the bacteria living inside the gut are important for human health. Indeed, the type of bacteria that are present and their metabolism are different in healthy people versus those with intestinal disease. However, less is known about how these gut bacteria are replicating, especially as someone begins to develop intestinal disease. This is particularly important as it is thought that metabolically active gut bacteria may be more relevant to health. Here, we begin to address this gap using several complementary approaches to characterize the replicating gut bacteria in a mouse model of intestinal inflammation. We reveal which gut bacteria are replicating, and how quickly, as mice develop and recover from inflammation. This work can serve as a model for future research to identify how actively growing gut bacteria may be impacting health, or why these particular bacteria tend to thrive during intestinal inflammation.		mSphere
PRJNA658335	Bovine			Canada: Lethbridge	3	RNA-Seq	pubmed_postdoc	33482928.0	33482928	Quantifying fluorescent glycan uptake to elucidate strain-level variability in foraging behaviors of rumen bacteria.	Klassen L	Abbott DW	Mammalia	"Gut microbiomes, such as the microbial community that colonizes the rumen, have vast catabolic potential and play a vital role in host health and nutrition. By expanding our understanding of metabolic pathways in these ecosystems, we will garner foundational information for manipulating microbiome structure and function to influence host physiology. Currently, our knowledge of metabolic pathways relies heavily on inferences derived from metagenomics or culturing bacteria in vitro. However, novel approaches targeting specific cell physiologies can illuminate the functional potential encoded within microbial (meta)genomes to provide accurate assessments of metabolic abilities. Using fluorescently labeled polysaccharides, we visualized carbohydrate metabolism performed by single bacterial cells in a complex rumen sample, enabling a rapid assessment of their metabolic phenotype. Specifically, we identified bovine-adapted strains of Bacteroides thetaiotaomicron that metabolized yeast mannan in the rumen microbiome ex vivo and discerned the mechanistic differences between two distinct carbohydrate foraging behaviors, referred to as ""medium grower"" and ""high grower."" Using comparative whole-genome sequencing, RNA-seq, and carbohydrate-active enzyme fingerprinting, we could elucidate the strain-level variability in carbohydrate utilization systems of the two foraging behaviors to help predict individual strategies of nutrient acquisition. Here, we present a multi-faceted study using complimentary next-generation physiology and ""omics"" approaches to characterize microbial adaptation to a prebiotic in the rumen ecosystem. Video abstract."		Microbiome
PRJNA712972	C57BL/6J			Japan:Tokyo	6	WGS	pubmed_postdoc	35752737.0	35752737	Gut microbiota alternation under the intestinal epithelium-specific knockout of mouse Piga gene.	Jangid A	Prakash T	Mammalia	Crosstalk between the gut microbiota and intestinal epithelium shapes the gut environment and profoundly influences the intestinal immune homeostasis. Glycosylphosphatidylinositol anchored proteins (GPI - APs) contribute to a variety of gut-associated immune functions, including microbial surveillance and defense, and epithelial cell polarity. Properly polarised epithelial cells are essential for the establishment of the barrier function of gut epithelia. The Piga gene is one among seven genes that encode for an enzyme which is involved in the first step of GPI-anchor biosynthesis. This is the first study reporting a knockout of the intestinal epithelial cell-specific Piga gene (Piga-/-) and its association with the gut microbiota in mice using a whole metagenome shotgun-based sequencing approach. An overall reduced microbiota diversity has been observed in the Piga-/- group as compared to the control group (ANOVA p = 0.34). The taxonomic biomarkers, namely: Gammaproteobacteria (class), Enterobacterales (order), Enterobacteriaceae (family), Escherichia (genus), Proteus (genus) and Escherichia coli (species), increased more in the Piga-/- mice as compared to in the control group. Further, the pathogenic E. coli strains, namely E. coli O157:H7 str. EDL 933 (EHEC), E. coli CFT073 (UPEC) and E. coli 536 (UPEC), were found in the Piga-/- mice which also harbored virulence factor transporters. In addition, the taxa responsible for short chain fatty acid production were decreased in the Piga-/- group. The Piga-/- mice gut harbored an increased number of microbial functions responsible for the survival of pathogens in the inflamed gut environment. Our observations clearly indicate that the Piga-/- mice gut might have an overall enhancement in pathogenic behaviour and reduced capabilities beneficial to health.		Scientific reports
PRJNA794207	Spheniscus mendiculus	156760		Ecuador: Isabela Island	64	AMPLICON	pubmed_postdoc	37005428.0	37005428	Composition and function of the Galapagos penguin gut microbiome vary with age, location, and a putative bacterial pathogen.	Rohrer SD	Chubiz LM	Aves	Microbial colonization plays a direct role in host health. Understanding the ecology of the resident microbial community for a given host species is thus an important step for detecting population vulnerabilities like disease. However, the idea of integrating microbiome research into conservation is still relatively new, and wild birds have received less attention in this field than mammals or domesticated animals. Here we examine the composition and function of the gut microbiome of the endangered Galapagos penguin (Spheniscus mendiculus) with the goals of characterizing the normal microbial community and resistome, identifying likely pathogens, and testing hypotheses of structuring forces for this community based on demographics, location, and infection status. We collected fecal samples from wild penguins in 2018 and performed 16S rRNA gene sequencing and whole genome sequencing (WGS) on extracted DNA. 16S sequencing revealed that the bacterial phyla Fusobacteria, Epsilonbacteraeota, Firmicutes, and Proteobacteria dominate the community. Functional pathways were computed from WGS data, showing genetic functional potential primarily focused on metabolism-amino acid metabolism, carbohydrate metabolism, and energy metabolism are the most well-represented functional groups. WGS samples were each screened for antimicrobial resistance, characterizing a resistome made up of nine antibiotic resistance genes. Samples were screened for potential enteric pathogens using virulence factors as indicators; Clostridium perfringens was revealed as a likely pathogen. Overall, three factors appear to be shaping the alpha and beta diversity of the microbial community: penguin developmental stage, sampling location, and C. perfringens. We found that juvenile penguins have significantly lower alpha diversity than adults based on three metrics, as well as significantly different beta diversity. Location effects are minimal, but one site has significantly lower Shannon diversity than the other primary sites. Finally, when samples were grouped by C. perfringens virulence factors, we found dramatic changes in beta diversity based on operational taxonomic units, protein families, and functional pathways. This study provides a baseline microbiome for an endangered species, implicates both penguin age and the presence of a potential bacterial pathogen as primary factors associated with microbial community variance, and reveals widespread antibiotic resistance genes across the population.		Scientific reports
PRJNA267761	hot springs metagenome			Greece: Drama, Thermia	8	AMPLICON	pubmed_postdoc	25973144.0	25973144	Under-detection of endospore-forming Firmicutes in metagenomic data.	Filippidou S	Junier P	Mammalia	Microbial diversity studies based on metagenomic sequencing have greatly enhanced our knowledge of the microbial world. However, one caveat is the fact that not all microorganisms are equally well detected, questioning the universality of this approach. Firmicutes are known to be a dominant bacterial group. Several Firmicutes species are endospore formers and this property makes them hardy in potentially harsh conditions, and thus likely to be present in a wide variety of environments, even as residents and not functional players. While metagenomic libraries can be expected to contain endospore formers, endospores are known to be resilient to many traditional methods of DNA isolation and thus potentially undetectable. In this study we evaluated the representation of endospore-forming Firmicutes in 73 published metagenomic datasets using two molecular markers unique to this bacterial group (spo0A and gpr). Both markers were notably absent in well-known habitats of Firmicutes such as soil, with spo0A found only in three mammalian gut microbiomes. A tailored DNA extraction method resulted in the detection of a large diversity of endospore-formers in amplicon sequencing of the 16S rRNA and spo0A genes. However, shotgun classification was still poor with only a minor fraction of the community assigned to Firmicutes. Thus, removing a specific bias in a molecular workflow improves detection in amplicon sequencing, but it was insufficient to overcome the limitations for detecting endospore-forming Firmicutes in whole-genome metagenomics. In conclusion, this study highlights the importance of understanding the specific methodological biases that can contribute to improve the universality of metagenomic approaches.		Computational and structural biotechnology journal
PRJNA276803	hot springs metagenome			Switzerland: Lake Geneva, Vidy Bay	12	AMPLICON	pubmed_postdoc	25973144.0	25973144	Under-detection of endospore-forming Firmicutes in metagenomic data.	Filippidou S	Junier P	Mammalia	Microbial diversity studies based on metagenomic sequencing have greatly enhanced our knowledge of the microbial world. However, one caveat is the fact that not all microorganisms are equally well detected, questioning the universality of this approach. Firmicutes are known to be a dominant bacterial group. Several Firmicutes species are endospore formers and this property makes them hardy in potentially harsh conditions, and thus likely to be present in a wide variety of environments, even as residents and not functional players. While metagenomic libraries can be expected to contain endospore formers, endospores are known to be resilient to many traditional methods of DNA isolation and thus potentially undetectable. In this study we evaluated the representation of endospore-forming Firmicutes in 73 published metagenomic datasets using two molecular markers unique to this bacterial group (spo0A and gpr). Both markers were notably absent in well-known habitats of Firmicutes such as soil, with spo0A found only in three mammalian gut microbiomes. A tailored DNA extraction method resulted in the detection of a large diversity of endospore-formers in amplicon sequencing of the 16S rRNA and spo0A genes. However, shotgun classification was still poor with only a minor fraction of the community assigned to Firmicutes. Thus, removing a specific bias in a molecular workflow improves detection in amplicon sequencing, but it was insufficient to overcome the limitations for detecting endospore-forming Firmicutes in whole-genome metagenomics. In conclusion, this study highlights the importance of understanding the specific methodological biases that can contribute to improve the universality of metagenomic approaches.		Computational and structural biotechnology journal
PRJNA449438	Gallus gallus	9031		China: Guangdong	202	AMPLICON	pubmed_postdoc	37792060.0	37792060	Host genetics and gut microbiota jointly regulate blood biochemical indicators in chickens.	Jiang X	Sun C	Aves	Blood biochemical indicators play a crucial role in assessing an individual's overall health status and metabolic function. In this study, we measured five blood biochemical indicators, including total cholesterol (CHOL), low-density lipoprotein cholesterol (LDL-CH), triglycerides (TG), high-density lipoprotein cholesterol (HDL-CH), and blood glucose (BG), as well as 19 growth traits of 206 male chickens. By integrating host whole-genome information and 16S rRNA sequencing of the duodenum, jejunum, ileum, cecum, and feces microbiota, we assessed the contributions of host genetics and gut microbiota to blood biochemical indicators and their interrelationships. Our results demonstrated significant negative phenotypic and genetic correlations (r =  - 0.20 ~  - 0.67) between CHOL and LDL-CH with growth traits such as body weight, abdominal fat content, muscle content, and shin circumference. The results of heritability and microbiability indicated that blood biochemical indicators were jointly regulated by host genetics and gut microbiota. Notably, the heritability of HDL-CH was estimated to be 0.24, while the jejunal microbiability for BG and TG reached 0.45 and 0.23. Furthermore, by conducting genome-wide association study (GWAS) with the single-nucleotide polymorphism (SNPs), insertion/deletion (indels), and structural variation (SV), we identified RAP2C, member of the RAS oncogene family (RAP2C), dedicator of cytokinesis 11 (DOCK11), neurotensin (NTS) and BOP1 ribosomal biogenesis factor (BOP1) as regulators of HDL-CH, and glycerophosphodiester phosphodiesterase domain containing 5 (GDPD5), dihydrodiol dehydrogenase (DHDH), and potassium voltage-gated channel interacting protein 1 (KCNIP1) as candidate genes of BG. Moreover, our findings suggest that cecal RF39 and Clostridia_UCG_014 may be linked to the regulation of CHOL, and jejunal Streptococcaceae may be involved in the regulation of TG. Additionally, microbial GWAS results indicated that the presence of gut microbiota was under host genetic regulation. Our findings provide valuable insights into the complex interaction between host genetics and microbiota in shaping the blood biochemical profile of chickens. KEY POINTS: • Multiple candidate genes were identified for the regulation of CHOL, HDL-CH, and BG. • RF39, Clostridia_UCG_014, and Streptococcaceae were implicated in CHOL and TG modulation. • The composition of gut microbiota is influenced by host genetics.		Applied microbiology and biotechnology
PRJNA1106045	Mus musculus	10090		South Korea: Jeonju	46	AMPLICON	pubmed_postdoc	39966566.0	39966566	Cannabidiol reshapes the gut microbiome to promote endurance exercise in mice.	Chen S	Bae EJ	Mammalia	Cannabidiol (CBD), a nonpsychoactive compound from Cannabis, has various bioactive functions in humans and animals. Evidence suggests that CBD promotes muscle injury recovery in athletes, but whether and how CBD improves endurance performance remains unclear. Here we investigated the effects of CBD treatment on exercise performance in mice and assessed whether this effect involves the gut microbiome. CBD administration significantly increased treadmill running performance in mice, accompanied by an increase in oxidative myofiber composition. CBD also increased mitochondrial biogenesis and the expression of associated genes such as PGC-1α, phosphorylated CREB and AMPK in muscle tissue. Interestingly, CBD altered the composition of the gut microbiome, and antibiotic treatment reduced the muscle endurance-enhancing effects of CBD and mitochondrial biogenesis. We isolated Bifidobacterium animalis, a microbe increased by CBD administration, and named it KBP-1. Treatment with B. animalis KBP-1 in mice resulted in improved running performance. Whole-genome analysis revealed that B. animalis KBP-1 presented high expression of genes involved in branched-chain amino acid biosynthesis, expression of branched-chain amino acid release pumps and metabolism of lactic acid. In summary, our study identified CBD and B. animalis KBP-1 as potential endurance exercise-promoting agents.		Experimental & molecular medicine
PRJEB27068					1000	AMPLICON	pubmed_postdoc	33863395.0	33863395	Microbial community structure and composition is associated with host species and sex in Sigmodon cotton rats.	Strickland BA	Das SR	Mammalia	BACKGROUND: The cotton rat (genus Sigmodon) is an essential small animal model for the study of human infectious disease and viral therapeutic development. However, the impact of the host microbiome on infection outcomes has not been explored in this model, partly due to the lack of a comprehensive characterization of microbial communities across different cotton rat species. Understanding the dynamics of their microbiome could significantly help to better understand its role when modeling viral infections in this animal model. RESULTS: We examined the bacterial communities of the gut and three external sites (skin, ear, and nose) of two inbred species of cotton rats commonly used in research (S. hispidus and S. fulviventer) by using 16S rRNA gene sequencing, constituting the first comprehensive characterization of the cotton rat microbiome. We showed that S. fulviventer maintained higher alpha diversity and richness than S. hispidus at external sites (skin, ear, nose), but there were no differentially abundant genera. However, S. fulviventer and S. hispidus had distinct fecal microbiomes composed of several significantly differentially abundant genera. Whole metagenomic shotgun sequencing of fecal samples identified species-level differences between S. hispidus and S. fulviventer, as well as different metabolic pathway functions as a result of differential host microbiome contributions. Furthermore, the microbiome composition of the external sites showed significant sex-based differences while fecal communities were not largely different. CONCLUSIONS: Our study shows that host genetic background potentially exerts homeostatic pressures, resulting in distinct microbiomes for two different inbred cotton rat species. Because of the numerous studies that have uncovered strong relationships between host microbiome, viral infection outcomes, and immune responses, our findings represent a strong contribution for understanding the impact of different microbial communities on viral pathogenesis. Furthermore, we provide novel cotton rat microbiome data as a springboard to uncover the full therapeutic potential of the microbiome against viral infections.		Animal microbiome
PRJNA368790	Mus musculus	10090			80	AMPLICON	pubmed_postdoc	33863395.0	33863395	Microbial community structure and composition is associated with host species and sex in Sigmodon cotton rats.	Strickland BA	Das SR	Mammalia	BACKGROUND: The cotton rat (genus Sigmodon) is an essential small animal model for the study of human infectious disease and viral therapeutic development. However, the impact of the host microbiome on infection outcomes has not been explored in this model, partly due to the lack of a comprehensive characterization of microbial communities across different cotton rat species. Understanding the dynamics of their microbiome could significantly help to better understand its role when modeling viral infections in this animal model. RESULTS: We examined the bacterial communities of the gut and three external sites (skin, ear, and nose) of two inbred species of cotton rats commonly used in research (S. hispidus and S. fulviventer) by using 16S rRNA gene sequencing, constituting the first comprehensive characterization of the cotton rat microbiome. We showed that S. fulviventer maintained higher alpha diversity and richness than S. hispidus at external sites (skin, ear, nose), but there were no differentially abundant genera. However, S. fulviventer and S. hispidus had distinct fecal microbiomes composed of several significantly differentially abundant genera. Whole metagenomic shotgun sequencing of fecal samples identified species-level differences between S. hispidus and S. fulviventer, as well as different metabolic pathway functions as a result of differential host microbiome contributions. Furthermore, the microbiome composition of the external sites showed significant sex-based differences while fecal communities were not largely different. CONCLUSIONS: Our study shows that host genetic background potentially exerts homeostatic pressures, resulting in distinct microbiomes for two different inbred cotton rat species. Because of the numerous studies that have uncovered strong relationships between host microbiome, viral infection outcomes, and immune responses, our findings represent a strong contribution for understanding the impact of different microbial communities on viral pathogenesis. Furthermore, we provide novel cotton rat microbiome data as a springboard to uncover the full therapeutic potential of the microbiome against viral infections.		Animal microbiome
PRJNA687411	Mus musculus	10090			378	AMPLICON	pubmed_postdoc	35272717.0	35272717	A mouse model of occult intestinal colonization demonstrating antibiotic-induced outgrowth of carbapenem-resistant Enterobacteriaceae.	Sim CK	Segre JA	Mammalia	BACKGROUND: The human intestinal microbiome is a complex community that contributes to host health and disease. In addition to normal microbiota, pathogens like carbapenem-resistant Enterobacteriaceae may be asymptomatically present. When these bacteria are present at very low levels, they are often undetectable in hospital surveillance cultures, known as occult or subclinical colonization. Through the receipt of antibiotics, these subclinical pathogens can increase to sufficiently high levels to become detectable, in a process called outgrowth. However, little is known about the interaction between gut microbiota and Enterobacteriaceae during occult colonization and outgrowth. RESULTS: We developed a clinically relevant mouse model for studying occult colonization. Conventional wild-type mice without antibiotic pre-treatment were exposed to Klebsiella pneumoniae but rapidly tested negative for colonization. This occult colonization was found to perturb the microbiome as detected by both 16S rRNA amplicon and shotgun metagenomic sequencing. Outgrowth of occult K. pneumoniae was induced either by a four-antibiotic cocktail or by individual receipt of ampicillin, vancomycin, or azithromycin, which all reduced overall microbial diversity. Notably, vancomycin was shown to trigger K. pneumoniae outgrowth in only a subset of exposed animals (outgrowth-susceptible). To identify factors that underlie outgrowth susceptibility, we analyzed microbiome-encoded gene functions and were able to classify outgrowth-susceptible microbiomes using pathways associated with mRNA stability. Lastly, an evolutionary approach illuminated the importance of xylose metabolism in K. pneumoniae colonization, supporting xylose abundance as a second susceptibility indicator. We showed that our model is generalizable to other pathogens, including carbapenem-resistant Escherichia coli and Enterobacter cloacae. CONCLUSIONS: Our modeling of occult colonization and outgrowth could help the development of strategies to mitigate the risk of subsequent infection and transmission in medical facilities and the wider community. This study suggests that microbiota mRNA and small-molecule metabolites may be used to predict outgrowth-susceptibility. Video Abstract.		Microbiome
PRJNA762197	Gryllotalpa orientalis			China:Guangxi	9	AMPLICON	pubmed_postdoc	36005344.0	36005344	The Role of Feeding Characteristics in Shaping Gut Microbiota Composition and Function of Ensifera (Orthoptera).	Zheng X	Shi F	Insecta	Feeding habits were the primary factor affecting the gut bacterial communities in Ensifera. However, the interaction mechanism between the gut microbiota and feeding characteristics is not precisely understood. Here, the gut microbiota of Ensifera with diverse feeding habits was analyzed by shotgun metagenomic sequencing to further clarify the composition and function of the gut microbiota and its relationship with feeding characteristics. Our results indicate that under the influence of feeding habits, the gut microbial communities of Ensifera showed specific characteristics. Firstly, the gut microbial communities of the Ensifera with different feeding habits differed significantly, among which the gut microbial diversity of the herbivorous Mecopoda niponensis was the highest. Secondly, the functional genes related to feeding habits were in high abundance. Thirdly, the specific function of the gut microbial species in the omnivorous Gryllotalpa orientalis showed that the more diverse the feeding behavior of Ensifera, the worse the functional specificity related to the feeding characteristics of its gut microbiota. However, feeding habits were not the only factors affecting the gut microbiota of Ensifera. Some microorganisms' genes, whose functions were unrelated to feeding characteristics but were relevant to energy acquisition and nutrient absorption, were detected in high abundance. Our results were the first to report on the composition and function of the gut microbiota of Ensifera based on shotgun metagenomic sequencing and to explore the potential mechanism of the gut microbiota's association with diverse feeding habits.		Insects
PRJDB20379	Balaenoptera acutorostrata	9767		Japan:Hokkaido, Menashi, Rausu	63	WGS	pubmed_postdoc	40785991.0	40785991	"Metagenomic Insights Into the Role of Gut Microbes in the Defensive Ink ""Tsunabi"" of Physeteroid Whales."	Takeuchi H	Hayakawa T	Mammalia	"Whales of the superfamily Physeteroidea, which includes the genera Physeter and Kogia, exhibit a unique visual defense mechanism involving the release of dark reddish-brown feces (locally called ""tsunabi-ink"" in Japan) into the water to obscure themselves from predators and other threats. However, the mechanism underlying pigmentation remains unknown. Because physeteroids possess an enlarged distal colon that retains fecal material, a possible explanation is that symbiont microbial metabolism contributes to the feces pigmentation. To investigate this, we provided a shotgun metagenomic catalog of gut microbiomes from the intestinal tracts of eight cetacean species, including two physeteroids: a sperm whale (Physeter macrocephalus) and a pygmy sperm whale (Kogia breviceps). The colonic microbiome of physeteroids exhibited relatively high abundances of tryptophan metabolism genes, particularly indolepyruvate ferredoxin oxidoreductases (iorA and iorB), suggesting that physeteroids accumulate indole-3-pyruvate-derived pigments in their colons. Furthermore, bacterial members of the phyla Bacillota and Bacteroidota were identified in the physeteroid colon as primary taxa conferring heavy-metal resistance, which may be related to the primary predation of physeteroids on cephalopods, which bioaccumulate high levels of heavy metals. Prolonged fecal retention can expose gut microbes to chronic heavy-metal stress and colonize them as heavy metal-tolerant microbial communities, some of which may produce pigments to reduce their toxicity. Thus, we propose that tsunabi-ink is a metabolic byproduct of shifts in the gut microbial community, influenced by the host's digestive physiology and foraging behavior through sustained ecological interactions with gut symbionts. Moreover, we believe that further empirical investigation would validate this hypothesis."		Ecology and evolution
PRJNA1061805	Holothuria glaberrima	31192		Puerto Rico: Fajardo	3	WGS	pubmed_postdoc	38690316.0	38690316	Sea cucumber (Holothuria glaberrima) intestinal microbiome dataset from Puerto Rico, generated by shotgun sequencing.	Rivera-Lopez EO	Rios-Velazquez C	Holothuroidea	The sea cucumber (H. glaberrima) is a species found in the shallow waters near coral reefs and seagrass beds in Puerto Rico. To characterize the microbial taxonomic composition and functional profiles present in the sea cucumber, total DNA was obtained from their intestinal system, fosmid libraries constructed, and subsequent sequencing was performed. The diversity profile displayed that the most predominant domain was Bacteria (76.56 %), followed by Viruses (23.24 %) and Archaea (0.04 %). Within the 11 phyla identified, the most abundant was Proteobacteria (73.16 %), followed by Terrabacteria group (3.20 %) and Fibrobacterota, Chlorobiota, Bacteroidota (FCB) superphylum (1.02 %). The most abundant species were Porvidencia rettgeri (21.77 %), Pseudomonas stutzeri (14.78 %), and Alcaligenes faecalis (5.00 %). The functional profile revealed that the most abundant functions are related to transporters, MISC (miscellaneous information systems), organic nitrogen, energy, and carbon utilization. The data collected in this project on the diversity and functional profiles of the intestinal system of the H. glaberrima provided a detailed view of its microbial ecology. These findings may motivate comparative studies aimed at understanding the role of the microbiome in intestinal regeneration.		Data in brief
PRJEB47095	Acrocephalus sechellensis			Seychelles	243	AMPLICON	pubmed_postdoc	41814421.0	41814421	Host immunogenetic variation and gut microbiome functionality in a wild vertebrate population.	Lee CZ	Richardson DS	Aves	BACKGROUND: The gut microbiome (GM) -important for host health and survival- is partially shaped by host immunogenetics. However, to date, no study has investigated the influence of host Major Histocompatibility Complex (MHC) genes on gut microbiome functionality in a wild population. Here we use a natural population of the Seychelles warbler (Acrocephalus sechellensis) to assess the effects of MHC genes on GM taxonomy and functionality using shotgun metagenomics. RESULTS: Our results show that taxonomic GM composition was associated with MHC-II diversity and the presence of one specific MHC-I allele (Ase-ua 7). Specifically, MHC-II diversity was associated with decreased Lactococcus lactis and increased Staphylococcus lloydii abundance, while Ase-ua 7 was linked to reduced Enterococcus casselifavus and Gordonia sp OPL2 but increased Escherichia coli and Vulcaniibacterium thermophilum. These taxonomic changes may reflect differences in MHC-mediated microbial recognition. In contrast, functional GM composition was significantly associated with increasing individual MHC-I diversity but not MHC-II diversity. In particular, increasing MHC-I diversity was associated with an increased prevalence of microbial defence genes but a reduced prevalence of microbial metabolism genes. Analysis also revealed that functional GM networks were more fragmented in high compared to low MHC-I diversity hosts. CONCLUSION: These results suggest that MHC variation (particularly at MHC-I) plays an important role in shaping both the taxonomy and function of the GM in wild vertebrates. In the Seychelles warbler, this results in trade-offs whereby there is an increase in microbial defence and a reduction in GM metabolic potential in individuals with higher MHC-I diversity. Thus, this work sheds light on the possible costs and benefits of maintaining a healthy microbiome, which is essential for understanding how the GM and immune system co-evolve. Video Abstract.		Microbiome
